代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
1593,祺驊,124,1,124,125.5,120.5,122.92,"451,838","55,538,155",388,124,18,124.5,6,"33,948,455",124,136,112
1595,川寶,30.1,-0.35,30.25,30.25,30.1,30.12,"35,102","1,057,221",35,30.1,6,30.15,1,"47,148,134",30.1,33.1,27.1
1599,宏佳騰,36.9,0.85,36.1,37.5,36.1,37.02,"370,959","13,734,413",259,36.9,1,36.95,2,"76,279,764",36.9,40.55,33.25
1742,台蠟,19.15,0.1,18.9,19.15,18.85,18.96,"63,009","1,194,779",28,19.1,2,19.15,5,"71,550,000",19.15,21.05,17.25
1752,南光,37.6,0,37.55,37.7,37.5,37.57,"151,246","5,682,000",96,37.55,6,37.6,3,"100,988,472",37.6,41.35,33.85
1777,生泰,74,0.1,74.3,74.3,74,74.09,"10,000","740,900",7,73.6,3,74.1,1,"30,059,550",74,81.4,66.6
1781,合世,21.85,-0.35,21.85,22.2,21.75,21.91,"220,167","4,823,317",148,21.85,2,22,2,"47,407,605",21.85,24,19.7
1784,訊聯,36.7,0.5,36.8,36.8,36.3,36.55,"72,012","2,631,806",80,36.7,6,36.75,3,"49,626,924",36.7,40.35,33.05
1785,光洋科,42.9,0.4,42.7,43.25,41.9,42.67,"6,435,990","274,635,044","4,026",42.85,56,42.9,41,"591,931,243",42.9,47.15,38.65
1788,杏昌,121.5,0.5,121.5,121.5,121,121.32,"21,326","2,587,352",100,121,2,121.5,2,"37,609,723",121.5,133.5,109.5
1796,金穎生技,29.6,0,29.6,29.7,29.6,29.64,"9,009","266,985",18,29.6,1,30.05,1,"27,893,391",29.6,32.55,26.65
1799,易威,15.4,0.2,15.3,15.45,15.05,15.27,"81,003","1,236,745",62,15.4,9,15.45,8,"139,379,678",15.4,16.9,13.9
1813,寶利徠,18.1,0.05,18.15,18.3,18.1,18.17,"23,999","436,181",23,18.1,1,18.3,20,"46,635,510",18.1,19.9,16.3
1815,富喬,13.7,0,13.65,13.85,13.65,13.72,"2,696,020","36,981,650",871,13.65,95,13.7,114,"417,896,498",13.7,15.05,12.35
2035,唐榮,36,0.8,35.2,36,35.2,35.7,"11,007","392,910",14,35.4,5,36,7,"350,000,000",36,39.6,32.4
2061,風青,24.05,2.15,21.6,24.05,21.6,23.64,"1,266,211","29,939,212",489,24.05,29,0,0,"46,928,758",24.05,26.45,21.65
2063,世鎧,31.8,0.3,31.8,31.9,31.65,31.82,"13,341","424,514",15,31.75,1,31.85,1,"45,000,000",31.8,34.95,28.65
2064,晉椿,13.85,-0.35,13.85,13.9,13.65,13.77,"8,000","110,150",6,13.6,2,13.75,2,"69,630,000",13.85,15.2,12.5
2065,世豐,44.1,0.25,44.1,44.65,44.1,44.34,"181,455","8,044,875",131,44.2,3,44.35,15,"44,989,261",44.1,48.5,39.7
2066,世德, ---,--- ,---,---,---,51,119,"6,069",1,50.7,1,51.9,1,"36,502,870",51,56.1,45.9
2067,嘉鋼,9.81,0.15,9.66,9.81,9.51,9.58,"18,186","174,182",16,9.51,2,9.8,4,"45,138,177",9.81,10.75,8.83
2070,精湛,28.4,0.4,28.9,28.9,28,28.45,"6,001","170,728",7,27.8,1,28.5,6,"35,782,800",28.4,31.2,25.6
2221,大甲,23,0,23.05,23.1,23,23.05,"13,000","299,600",11,23,10,23.15,1,"42,325,000",23,25.3,20.7
2230,泰茂,14.25,0.25,14.1,14.55,14.05,14.23,"36,569","520,394",39,14.25,495,14.3,14,"39,913,194",14.25,15.65,12.85
2235,謚源,42.1,0.1,41.6,42.1,41.55,41.64,"10,014","416,938",11,41.7,1,42.05,1,"35,878,000",42.1,46.3,37.9
2596,綠意,20,0,19.75,20,19.75,19.88,"32,000","636,300",21,19.9,5,20,14,"100,000,000",20,22,18
2640,大車隊,75.4,0,76.2,76.2,75.2,75.54,"38,677","2,921,785",48,75.4,7,75.5,11,"56,442,815",75.4,82.9,67.9
2641,正德,10.25,-0.05,10.6,10.6,10.2,10.31,"1,326,211","13,670,191",443,10.25,35,10.3,60,"152,635,888",10.25,11.25,9.23
2643,捷迅,60.8,-0.3,61.8,61.8,60.8,61.24,"102,012","6,246,734",84,60.8,4,60.9,1,"30,000,000",60.8,66.8,54.8
2718,晶悅,19.3,-2.1,19.3,19.5,19.3,19.3,"1,563,410","30,178,810","1,486",19.3,4,19.35,7,"72,576,000",19.3,21.2,17.4
2719,燦星旅,11.25,0.75,10.5,11.25,10.5,10.84,"2,067","22,407",4,9.81,2,11.25,1,"31,072,100",11.25,12.35,10.15
2724,富驛-KY,3.2,-0.2,3.21,3.21,3.2,3.2,"7,000","22,420",3,3.22,6,3.59,3,"68,172,290",3.2,3.52,2.88
2726,雅茗-KY,69,0.8,68.2,69.5,68,68.97,"318,731","21,983,325",245,68.7,1,69,2,"36,557,412",69,75.9,62.1
2729,瓦城,224,1,224.5,227,224,224.35,"17,202","3,859,284",25,223,2,224.5,1,"23,266,333",224,246,202
2732,六角,118.5,0.5,118.5,120,118.5,119.03,"79,656","9,481,408",70,118.5,6,120,25,"43,238,432",118.5,130,107
2734,易飛網,12.1,0.15,12.15,12.25,11.9,12.08,"272,292","3,289,110",62,12.05,11,12.15,1,"30,259,760",12.1,13.3,10.9
2736,高野,12.75,0.05,13.15,13.15,12.5,12.71,"70,000","889,750",50,12.6,2,12.9,2,"48,992,383",12.75,14,11.5
2740,天蔥,18.75,-0.2,18.7,18.75,18.7,18.73,"2,000","37,450",2,18.3,1,18.75,1,"13,185,484",18.75,20.6,16.9
2743,山富,16.35,0.6,15.75,16.4,15.75,16.2,"79,000","1,280,150",52,16.35,1,16.4,18,"32,031,700",16.35,17.95,14.75
2745,五福,17.9,0.85,17.15,18,17.1,17.58,"65,008","1,142,587",41,17.8,1,17.9,1,"29,308,526",17.9,19.65,16.15
2752,豆府,162,0,161.5,163,161.5,162.14,"18,069","2,929,682",17,162,4,163,3,"22,528,984",162,178,146
2754,亞洲藏壽司,69.8,-0.2,70.9,70.9,69.6,70.06,"74,203","5,198,681",70,69.7,1,70,2,"45,150,000",69.8,76.7,62.9
2755,揚秦,52.9,1.1,52,53,52,52.46,"46,171","2,422,097",38,52.6,2,52.9,1,"20,000,000",52.9,58.1,47.65
2916,滿心,16.8,0,16.8,16.85,16.8,16.8,"25,000","420,050",8,16.8,1,16.9,1,"54,626,878",16.8,18.45,15.15
2924,東凌-KY,20.2,0,19.9,20.2,19.9,20.05,"2,000","40,100",2,20.2,1,0,0,"32,805,174",20.2,22.2,18.2
2926,誠品生活,75.4,-0.1,75.4,75.8,75.3,75.53,"11,300","853,462",17,75.4,2,75.6,1,"47,389,650",75.4,82.9,67.9
2928,紅馬-KY,21.95,-0.3,22,22.25,21.4,21.87,"44,000","962,400",33,21.9,3,22.2,3,"47,301,154",21.95,24.1,19.8
2937,集雅社,32.5,0,32.5,32.5,32.5,32.5,"18,000","585,000",10,32.5,5,32.9,3,"32,860,000",32.5,35.75,29.25
3064,泰偉, ---,--- ,---,---,---,23.24,54,"1,255",2,23.5,1,24.5,2,"26,738,425",24.5,26.95,22.05
3066,李洲,8.01,0.01,7.22,8.1,7.22,7.81,"111,297","869,558",60,7.6,2,8.02,30,"83,070,612",8.01,8.81,7.21
3067,全域,31.8,-0.15,31.95,32,31.25,31.84,"30,757","979,161",29,31.75,1,32,2,"29,025,240",31.8,34.95,28.65
3071,協禧,23.65,-0.05,23.9,23.9,23.6,23.73,"642,002","15,232,486",308,23.65,52,23.7,14,"110,000,000",23.65,26,21.3
3078,僑威,43.45,-0.1,44,44.15,43.4,43.65,"1,783,118","77,840,228",965,43.45,23,43.5,4,"227,391,064",43.45,47.75,39.15
3081,聯亞,274.5,-6.5,283,283,274,276.22,"605,199","167,166,312",568,274.5,2,275.5,1,"91,373,177",274.5,301.5,247.5
3083,網龍,55.5,-2.1,57.9,57.9,55.2,55.99,"1,035,327","57,970,835",806,55.4,25,55.5,2,"86,116,358",55.5,61,49.95
3085,新零售,9.49,0.09,9.49,9.49,9.49,9.41,"2,796","26,309",11,8.52,2,9.51,1,"48,038,577",9.49,10.4,8.55
3086,華義,184,16.5,184,184,184,183.92,"135,370","24,897,436",210,184,38,0,0,"19,369,400",184,202,166
3088,艾訊,52.7,-0.2,52.9,52.9,52.1,52.45,"222,609","11,676,029",151,52.6,25,52.7,8,"83,139,999",52.7,57.9,47.45
3092,鴻碩,60.8,0.1,61.8,62,60.6,60.99,"1,460,301","89,069,463",838,60.8,17,60.9,1,"83,280,976",60.8,66.8,54.8
3093,港建,37.85,0.1,37.9,37.9,37.85,37.86,"3,038","115,025",5,37.75,1,37.95,2,"36,288,894",37.85,41.6,34.1
3095,及成,2.52,-0.03,2.56,2.56,2.52,2.55,"26,549","67,599",17,2.51,105,2.56,17,"109,276,321",2.52,2.77,2.27
3105,穩懋,370.5,-17.5,388,389,370,375.56,"16,876,666","6,338,179,076","18,662",370.5,181,371,11,"424,056,384",370.5,407.5,333.5
3114,好德,21.65,0.15,21.8,21.8,21.5,21.58,"66,860","1,442,736",50,21.6,4,21.65,2,"59,080,000",21.65,23.8,19.5
3115,寶島極,16.8,0.3,16.8,16.8,16.8,16.81,"11,329","190,386",128,16.75,5,16.95,4,"43,697,600",16.8,18.45,15.15
3118,進階,27.8,0,27.8,28,27.8,27.86,"20,407","568,550",42,27.8,3,27.95,1,"32,452,860",27.8,30.55,25.05
3122,笙泉,16.6,-0.1,16.85,17.05,16.35,16.55,"349,021","5,777,450",226,16.55,1,16.75,8,"38,299,934",16.6,18.25,14.95
3128,昇銳,19.5,0,19.8,21.45,19.15,20.37,"9,097,076","185,286,755","4,429",19.5,46,19.6,2,"42,000,000",19.5,21.45,17.55
3131,弘塑,371.5,-3.5,377,381,371,373.55,"154,841","57,841,108",185,371.5,5,372,2,"29,216,015",371.5,408.5,334.5
3141,晶宏,40.65,0.2,40.4,42,40.3,41.23,"2,129,490","87,796,548","1,395",40.65,9,40.8,2,"65,367,496",40.65,44.7,36.6
3144,新揚科,35.65,0,35.65,35.8,35.65,35.67,"23,309","831,415",24,35.65,1108,35.75,1,"100,637,750",35.65,39.2,32.1
3147,大綜,31.4,0.05,31.35,31.8,31.35,31.48,"40,000","1,259,200",29,31.35,2,31.65,3,"34,006,099",31.4,34.5,28.3
3152,璟德,476,3,480,482,472,478.81,"351,298","168,206,630",364,476,4,477,1,"69,016,200",476,523,428.5
3162,精確,17.25,0.1,17.1,17.5,16.5,17.06,"110,007","1,876,262",38,17,9,17.25,1,"126,531,342",17.25,18.95,15.55
3163,波若威,47.8,0.45,47.5,48.15,47.5,47.89,"406,290","19,458,340",300,47.8,23,47.9,1,"75,286,899",47.8,52.5,43.05
3169,亞信,73.8,6.7,73.3,73.8,68.9,71.73,"11,721,400","840,821,153","6,270",73.8,5878,0,0,"49,581,585",73.8,81.1,66.5
3171,新洲,22.95,-0.05,23,23.4,22.85,23.11,"128,000","2,958,300",66,22.85,6,22.95,4,"66,703,515",22.95,25.2,20.7
3176,基亞,54.1,0,57,57,53.3,55,"1,595,889","87,773,119","1,140",54.1,12,54.5,8,"139,098,505",54.1,59.5,48.7
3178,公準,60,-1.1,62,62.8,59.9,61.31,"1,690,512","103,639,807","1,311",60,43,60.3,1,"45,050,000",60,66,54
3188,鑫龍騰,13.7,0,13.9,13.9,13.65,13.7,"16,001","219,167",16,13.65,6,13.75,11,"120,295,120",13.7,15.05,12.35
3191,和進,8.63,0.06,8.83,8.83,8.47,8.58,"92,293","792,031",66,8.57,40,8.63,5,"57,194,761",8.63,9.49,7.77
3202,樺晟,17.6,0,17.8,17.8,17.55,17.62,"253,012","4,458,220",125,17.55,26,17.65,13,"117,164,870",17.6,19.35,15.85
3205,佰研,30.05,0.55,30.65,30.65,29.8,30.1,"33,468","1,007,303",47,30.05,2,30.2,3,"32,772,631",30.05,33.05,27.05
3206,志豐,35.5,0.1,35.5,35.8,35.4,35.56,"248,508","8,836,297",171,35.45,5,35.5,1,"53,916,621",35.5,39.05,31.95
3207,耀勝,9.44,-0.06,9.98,9.98,9.44,9.68,"7,871","76,225",15,9.25,1,9.4,2,"43,770,341",9.44,10.35,8.5
3211,順達,93.9,0.5,93.4,94.5,92.6,93.45,"2,096,370","195,899,596","1,604",93.8,15,94,15,"147,480,521",93.9,103,84.6
3213,茂訊,49.75,0.05,49.75,50.3,49.7,49.83,"112,403","5,601,147",90,49.7,9,49.8,2,"58,685,547",49.75,54.7,44.8
3217,優群,126.5,-4,131,133,126.5,128.86,"1,989,259","256,330,850","1,551",126.5,27,127,5,"90,104,203",126.5,139,114
3218,大學光,226,4.5,226,229.5,222.5,225.94,"390,787","88,293,730",430,225.5,6,226.5,5,"76,123,000",226,248.5,203.5
3219,倚強股份,79,2,80,80,79,79.01,"63,304","5,001,682",72,78.5,4,79.2,1,"70,283,968",79,86.9,71.1
3221,台嘉碩,20.4,0.4,19.85,20.5,19.8,20.2,"304,688","6,155,402",163,20.25,3,20.4,6,"103,673,410",20.4,22.4,18.4
3224,三顧,42,0.25,41.75,42.1,41.3,41.78,"116,001","4,846,391",51,41.45,2,42,6,"58,016,045",42,46.2,37.8
3226,至寶電,67.9,0.5,67.9,68,67.4,67.67,"12,344","835,354",11,66.8,2,67.9,4,"64,430,573",67.9,74.6,61.2
3227,原相,183,-8,193,193,183,185.79,"6,468,957","1,201,870,105","5,418",183,164,183.5,11,"141,558,476",183,201,165
3228,金麗科,247,3,250,250,245,248.09,"823,922","204,406,086",644,247,3,247.5,1,"67,792,705",247,271.5,222.5
3230,錦明,6.3,0.04,6.5,6.55,6.25,6.32,"24,000","151,680",11,6.3,2,6.32,4,"107,746,524",6.3,6.93,5.67
3232,昱捷,14.65,0.35,14.45,14.7,14.35,14.6,"102,004","1,489,256",50,14.65,12,14.7,1,"36,567,865",14.65,16.1,13.2
3234,光環,36.85,1.05,36.2,37.45,36.2,36.92,"1,419,956","52,420,396",928,36.8,9,36.85,28,"76,474,692",36.85,40.5,33.2
3236,千如,23.35,0.15,23.2,23.55,23.2,23.35,"378,111","8,827,599",215,23.3,33,23.35,5,"92,920,896",23.35,25.65,21.05
3252,海灣,15.6,-0.25,15.9,16.05,15.5,15.86,"43,193","684,901",20,15.55,6,15.85,1,"50,195,754",15.6,17.15,14.05
3259,鑫創,39.5,-0.1,39.8,40,39.45,39.74,"111,971","4,449,844",85,39.45,1,39.5,1,"64,687,642",39.5,43.45,35.55
3260,威剛,72.9,-0.1,73.5,73.8,72.5,73.01,"4,483,113","327,323,504","2,696",72.9,122,73,230,"236,373,645",72.9,80.1,65.7
3264,欣銓,47.55,-0.25,47.5,48.6,46.6,47.76,"34,344,618","1,640,325,094","17,633",47.5,28,47.55,52,"490,251,976",47.55,52.3,42.8
3265,台星科,27.65,0.1,27.6,27.85,27.6,27.69,"174,454","4,830,103",92,27.6,10,27.65,5,"136,261,659",27.65,30.4,24.9
3268,海德威,15.55,0.3,15.2,15.6,15.2,15.55,"31,012","482,330",31,15.35,3,15.6,44,"33,426,272",15.55,17.1,14
3272,東碩,50.1,-0.8,51.1,51.1,50.1,50.33,"464,360","23,369,873",350,50.1,17,50.2,5,"54,614,302",50.1,55.1,45.1
3276,宇環,12,1.05,11.5,12,11.4,11.85,"1,298,687","15,385,744",322,12,443,0,0,"69,712,666",12,13.2,10.8
3284,太普高,13.35,0.15,13.2,13.35,13,13.15,"73,035","960,672",42,13.35,2,13.65,2,"55,961,790",13.35,14.65,12.05
3285,微端,23,0.65,22.35,23.2,22.1,22.72,"145,474","3,305,464",88,22.9,1,23,35,"44,109,324",23,25.3,20.7
3287,廣寰科,23.85,-0.15,24,24.25,23.8,24,"169,586","4,069,681",115,23.85,4,23.95,1,"43,970,483",23.85,26.2,21.5
3288,點晶,12.7,-0.1,12.8,12.8,12.3,12.49,"9,422","117,722",10,12.3,1,12.7,2,"22,660,060",12.7,13.95,11.45
3289,宜特,50.7,-0.4,51.3,51.5,50.6,50.91,"518,833","26,413,264",417,50.7,15,51,3,"93,575,121",50.7,55.7,45.65
3290,東浦,14.2,0,14.15,14.25,14.1,14.17,"113,226","1,604,322",62,14.15,10,14.2,9,"99,548,926",14.2,15.6,12.8
3293,鈊象,808,2,822,830,806,816.52,"1,399,492","1,142,716,224","1,738",808,11,809,2,"70,450,390",808,888,728
3294,英濟,17.1,0.1,17.1,17.35,16.9,17.17,"187,278","3,215,062",127,17.1,7,17.25,3,"132,015,919",17.1,18.8,15.4
3297,杭特,16.45,0,16.65,16.65,15.7,16.1,"265,516","4,275,677",177,16.35,1,16.45,7,"36,839,445",16.45,18.05,14.85
3303,岱稜,22.6,0.45,21.95,22.6,21.95,22.33,"119,074","2,658,583",79,22.45,20,22.6,14,"96,089,607",22.6,24.85,20.35
3306,鼎天,18.75,0,18.8,18.8,18.7,18.74,"79,003","1,480,807",41,18.7,6,19,5,"50,607,702",18.75,20.6,16.9
3310,佳穎,30.3,-0.1,30.15,30.3,30.15,30.17,"24,000","724,050",17,30.15,2,30.2,1,"50,225,269",30.3,33.3,27.3
3313,斐成,10.7,0.05,10.8,10.8,10.5,10.69,"19,063","203,821",29,10.7,1,10.75,1,"98,770,776",10.7,11.75,9.63
3317,尼克森,42.45,0.25,42.65,42.85,41.85,42.28,"606,409","25,639,928",405,42.3,1,42.45,2,"61,251,550",42.45,46.65,38.25
3322,建舜電,12.3,-0.35,12.75,12.75,12.3,12.46,"1,265,492","15,763,553",508,12.3,41,12.4,2,"96,651,520",12.3,13.5,11.1
3323,加百裕,46.3,0,46.35,46.65,46.15,46.35,"1,861,389","86,283,098","1,025",46.3,23,46.35,5,"80,305,914",46.3,50.9,41.7
3324,雙鴻,216.5,2,216.5,219,215.5,217.03,"2,586,247","561,282,559","2,141",216.5,43,217,15,"88,394,092",216.5,238,195
3325,旭品,22.85,-0.15,23.1,23.1,22.7,22.88,"557,156","12,749,727",256,22.8,23,22.85,1,"84,634,579",22.85,25.1,20.6
3332,幸康,36.5,0.2,36.3,36.5,36.3,36.4,"2,000","72,800",2,35,2,37.5,7,"48,104,246",36.5,40.15,32.85
3339,泰谷,13.05,-0.05,13.05,13.45,13.05,13.14,"100,963","1,326,346",62,13.05,12,13.25,1,"43,281,649",13.05,14.35,11.75
3354,律勝,13.7,0.25,13.6,13.7,13.5,13.59,"74,689","1,014,974",39,13.5,5,13.7,4,"70,112,426",13.7,15.05,12.35
3360,尚立,14.55,-0.05,14.65,14.65,14.55,14.59,"68,260","995,931",51,14.55,62,14.6,1,"68,707,054",14.55,16,13.1
3362,先進光,34.15,-0.55,35,35.3,34,34.39,"1,414,350","48,640,910",955,34.15,8,34.2,1,"111,545,880",34.15,37.55,30.75
3363,上詮,24.9,0.05,24.9,25.05,24.85,24.95,"192,117","4,794,025",131,24.9,2,24.95,1,"87,073,932",24.9,27.35,22.45
3372,典範,11.25,0.35,11.15,11.35,10.9,11.16,"195,851","2,185,288",102,11.25,10,11.35,36,"172,100,000",11.25,12.35,10.15
3373,熱映,67.2,-0.9,68.3,69.5,67,67.62,"1,053,536","71,239,089",773,67.1,27,67.2,17,"43,289,801",67.2,73.9,60.5
3374,精材,174.5,0.5,176,179,174,176,"10,284,886","1,810,117,624","7,658",174.5,348,175,11,"271,364,316",174.5,191.5,157.5
3379,彬台,11.75,-0.05,11.85,11.9,11.65,11.76,"115,017","1,353,092",63,11.7,4,11.75,2,"38,041,748",11.75,12.9,10.6
3388,崇越電,68.4,0.5,68.1,68.4,67.7,68.13,"71,570","4,876,148",64,68.2,1,68.5,10,"74,061,000",68.4,75.2,61.6
3390,旭軟,15.1,0.3,14.75,15.1,14.75,14.94,"43,618","651,707",42,15.05,3,15.1,6,"67,505,059",15.1,16.6,13.6
3402,漢科,29.35,0.2,29.15,29.5,29.15,29.38,"158,327","4,652,437",123,29.3,14,29.35,2,"73,047,692",29.35,32.25,26.45
3426,台興,38.9,0.4,38.9,38.9,38.9,38.9,"1,000","38,900",1,38.6,2,38.95,1,"26,400,000",38.9,42.75,35.05
3434,哲固, ---,--- ,---,---,---,12.6,692,"8,719",1,13,3,14.2,2,"22,700,000",13.25,14.55,11.95
3438,類比科,49.6,2.2,49.35,52.1,49.35,50.65,"888,817","45,022,152",662,49.6,13,49.95,2,"47,165,815",49.6,54.5,44.65
3441,聯一光,25.8,-0.2,26.4,26.4,25.8,26.03,"127,021","3,306,000",112,25.8,4,25.9,5,"40,039,920",25.8,28.35,23.25
3444,利機,35.85,-0.4,36.3,36.35,35.85,36.11,"125,000","4,514,300",87,35.85,1,36.05,1,"39,114,586",35.85,39.4,32.3
3455,由田,55.7,0.2,56,56.4,55.5,56.02,"428,048","23,978,293",298,55.7,12,55.8,5,"61,468,750",55.7,61.2,50.2
3465,進泰電子,189,-5,202,203,187,194.99,"216,871","42,286,831",196,189,2,190,3,"32,160,335",189,207.5,170.5
3466,致振,11.15,0.1,11.05,11.3,11.05,11.16,"18,910","211,051",73,11.05,6,11.15,2,"60,887,573",11.15,12.25,10.05
3479,安勤,51.2,-0.4,51.7,51.7,51,51.26,"109,009","5,588,199",89,51.2,5,51.3,2,"70,194,164",51.2,56.3,46.1
3483,力致,86.1,5.3,85,88.7,83.7,86.08,"16,889,117","1,453,739,562","10,509",86.1,42,86.5,5,"70,686,176",86.1,94.7,77.5
3484,崧騰,68.2,0.7,67.5,69.3,67.3,68.26,"2,013,186","137,426,643","1,148",68.2,5,68.4,10,"69,736,557",68.2,75,61.4
3489,森寶,10.6,-0.1,10.7,10.75,10.6,10.62,"39,000","414,150",18,10.55,6,10.6,2,"83,130,670",10.6,11.65,9.54
3490,單井,29.95,0.15,29.9,30.6,29.85,30.24,"821,163","24,833,003",457,29.9,9,30,7,"57,006,435",29.95,32.9,27
3491,昇達科,72.2,1.7,71.2,72.7,70.9,71.8,"400,783","28,777,171",321,72,3,72.2,8,"62,158,662",72.2,79.4,65
3492,長盛,17,-0.2,17.2,17.35,17,17.13,"52,000","890,700",37,17,24,17.2,7,"35,531,600",17,18.7,15.3
3498,陽程,38.6,0.15,38.5,38.75,38.2,38.46,"143,266","5,510,696",128,38.3,2,38.6,5,"64,173,008",38.6,42.45,34.75
3499,環天科,10.95,-0.05,11.1,11.1,10.9,10.98,"121,001","1,328,462",65,10.95,4,11.1,4,"54,970,596",10.95,12,9.86
3508,位速,21.05,-0.55,21.6,21.8,21.05,21.43,"499,422","10,701,402",283,21.05,12,21.1,4,"102,227,737",21.05,23.15,18.95
3511,矽瑪, ---,--- ,---,---,---,28.04,0,0,0,0,0,0,0,"79,972,945",28.25,31.05,25.45
3512,皇龍,30.5,1,30.45,30.85,29.9,30.28,"571,467","17,304,297",304,30.5,4,30.55,3,"84,000,000",30.5,33.55,27.45
3516,亞帝歐,15.55,0.35,15.9,15.9,15.4,15.6,"192,029","2,995,999",95,15.55,7,15.6,4,"50,590,216",15.55,17.1,14
3520,華盈,13.35,0.05,13.5,13.5,13,13.31,"74,505","991,769",54,13.1,2,13.35,6,"48,846,778",13.35,14.65,12.05
3521,鴻翊,16.95,0.05,17,17.1,16.75,16.88,"122,000","2,059,150",72,16.9,1,16.95,2,"46,730,575",16.95,18.6,15.3
3522,御頂,11.8,-0.1,12.35,13,11.8,12.39,"1,383,088","17,133,547",684,11.75,2,11.8,1,"72,600,000",11.8,12.95,10.65
3523,迎輝,10.9,-0.05,10.6,10.9,10.6,10.82,"21,574","233,446",25,10.7,5,10.8,1,"100,049,780",10.9,11.95,9.81
3526,凡甲,100,0.4,99.9,100.5,99.7,99.93,"2,081,427","207,987,772","1,868",100,72,100.5,317,"72,915,808",100,110,90
3527,聚積,92.6,-0.6,93.5,93.6,92.5,92.76,"254,949","23,649,727",257,92.6,4,92.7,2,"44,445,125",92.6,101.5,83.4
3529,力旺,739,-9,761,768,732,745.9,"1,280,215","954,916,075","1,343",739,9,741,4,"76,059,117",739,812,666
3531,先益,20.6,0,20.65,20.65,20.6,20.62,"6,006","123,824",6,20.65,4,21.35,2,"61,175,011",20.6,22.65,18.55
3537,堡達,33.4,-0.05,33.55,33.65,33.35,33.45,"106,810","3,572,940",78,33.35,5,33.5,1,"53,564,742",33.4,36.7,30.1
3540,曜越,64.8,0,65.7,66.6,64.5,65.62,"3,510,695","230,354,351","1,955",64.8,21,64.9,1,"66,613,044",64.8,71.2,58.4
3541,西柏,49.8,-0.2,50,50.2,49.8,49.94,"115,516","5,768,950",113,49.75,10,49.9,6,"56,787,142",49.8,54.7,44.85
3546,宇峻,90.4,-1.6,92.2,92.8,90.1,90.65,"782,112","70,898,278",708,90.3,37,90.4,1,"45,883,379",90.4,99.4,81.4
3548,兆利,70.6,0.2,70.8,71.4,70.4,70.74,"172,668","12,214,052",113,70.6,20,70.7,4,"60,121,398",70.6,77.6,63.6
3551,世禾,49.2,0,49.2,49.65,49.1,49.36,"133,020","6,565,592",92,49.2,11,49.25,2,"56,774,890",49.2,54.1,44.3
3552,同致,309.5,9.5,306,309.5,303,306.71,"788,323","241,786,172",713,309,6,309.5,16,"85,592,949",309.5,340,279
3555,重鵬,30.3,-0.4,30.3,30.3,30.3,30.3,"1,001","30,330",2,28.2,1,30.45,2,"35,550,000",30.3,33.3,27.3
3556,禾瑞亞,58,0.3,58.6,59.4,57.7,58.29,"969,304","56,500,839",692,57.9,22,58.1,1,"59,468,675",58,63.8,52.2
3558,神準,101,0.5,101,101,100.5,100.93,"60,132","6,068,898",48,101,3,101.5,8,"49,060,881",101,111,90.9
3564,其陽,24.8,0,24.75,24.8,24.65,24.76,"19,000","470,400",10,24.65,6,24.8,1,"59,123,100",24.8,27.25,22.35
3567,逸昌,29.9,0.4,29.95,30.45,29.75,30.1,"305,061","9,182,148",256,29.85,7,29.9,1,"34,127,000",29.9,32.85,26.95
3570,大塚,78.5,0.5,77.5,78.5,77.5,77.95,"14,046","1,094,874",16,77.8,1,78.7,1,"17,097,000",78.5,86.3,70.7
3577,泓格,29,0.35,28.7,29.3,28.6,29.02,"49,164","1,426,673",60,28.8,1,29,2,"52,864,177",29,31.9,26.1
3580,友威科,51,-1,52.1,52.3,50.9,51.34,"269,140","13,816,776",204,51,6,51.1,3,"39,470,657",51,56.1,45.9
3581,博磊,22.2,0.1,22.4,22.4,22,22.12,"324,440","7,176,549",186,22.15,1,22.25,5,"51,006,000",22.2,24.4,20
3587,閎康,97.6,-0.8,96.5,98,95.5,96.7,"1,958,689","189,403,303","1,430",97.5,7,97.6,1,"62,313,157",97.6,107,87.9
3594,磐儀,23.8,-0.15,24.3,24.35,23.8,24,"92,311","2,215,193",75,23.8,2,24.2,1,"71,153,335",23.8,26.15,21.45
3597,映興,30.1,-1.9,31.7,32.15,30.1,30.94,"1,480,543","45,801,147",966,30.1,8,30.45,6,"35,146,150",30.1,33.1,27.1
3609,東林,32.3,0.3,32,32.4,32,32.16,"97,001","3,119,632",38,32.3,19,32.5,7,"30,679,387",32.3,35.5,29.1
3611,鼎翰,191,0,191,191.5,191,191.27,"39,205","7,498,806",33,191,3,192,5,"42,476,940",191,210,172
3615,安可,20.8,0,20.8,21.05,20.5,20.81,"527,265","10,974,521",239,20.75,1,20.85,5,"68,466,976",20.8,22.85,18.75
3623,富晶通,15.3,0.25,15.2,15.35,15.2,15.21,"44,430","675,985",38,15.3,3,15.35,2,"29,185,946",15.3,16.8,13.8
3624,光頡,26.85,-0.1,26.95,27.05,26.8,26.89,"247,037","6,643,597",161,26.85,2,26.95,3,"117,340,842",26.85,29.5,24.2
3625,西勝,20.25,-0.3,20.95,20.95,20.2,20.38,"825,357","16,822,327",454,20.25,10,20.3,5,"82,096,002",20.25,22.25,18.25
